title,type,question,A,B,C,D,answer,image
Praktik Galus UASA Geografi T2 Bab 10,radio,F2 Bab 10,A,B,C,D,D,Galus/Picture71.png
,radio,F2 Bab 10,A,B,C,D,D,Galus/Picture72.png
,radio,F2 Bab 10,A,B,C,D,C,Galus/Picture73.png
,radio,F2 Bab 10,A,B,C,D,A,Galus/Picture74.png
,radio,F2 Bab 10,A,B,C,D,C,Galus/Picture75.png
,radio,F2 Bab 10,A,B,C,D,B,Galus/Picture76.png
,radio,F2 Bab 10,A,B,C,D,B,Galus/Picture77.png
,radio,F2 Bab 10,A,B,C,D,C,Galus/Picture78.png
,radio,F2 Bab 10,A,B,C,D,D,Galus/Picture79.png
,radio,F2 Bab 10,A,B,C,D,B,Galus/Picture80.png
